pressure,temperature,nitrogen,oxygen
100.0,-200,-13457.519086864455,-12132.70336306448
100.0,-199,-13410.208270288012,-12080.536095985695
100.0,-198,-13362.810036763862,-12028.129022761505
100.0,-197,-13315.319659928362,-11975.468913429293
100.0,-196,-13267.73239319074,-11922.5418669729
100.0,-195,-13223.71352467515,-11860.922201487432
100.0,-194,-13178.642352511075,-11799.548337954602
100.0,-193,-13133.11171413346,-11737.004801562984
100.0,-192,-13086.672666246284,-11675.311775935985
100.0,-191,-13039.822324799405,-11612.682962295079
100.0,-190,-12992.25643836866,-11551.509117589787
100.0,-189,-12944.35572221665,-11489.644519023013
100.0,-188,-12895.934626597604,-11429.759604773
100.0,-187,-12847.255311805171,-11369.388718597154
100.0,-186,-12798.307414100378,-11308.515850806387
100.0,-185,-12749.080264160017,-11247.12448521002
112.5,-200,-13457.300164483142,-12132.475631267716
112.5,-199,-13409.990479743248,-12080.312383255206
112.5,-198,-13362.593415663672,-12027.909567306013
112.5,-197,-13315.104246526478,-11975.25397110433
112.5,-196,-13267.518226281722,-11922.331712985362
112.5,-195,-13219.83058737826,-11869.128175213116
112.5,-194,-13175.646521713048,-11807.353910351283
112.5,-193,-13130.41979089759,-11745.800042791074
112.5,-192,-13084.73253129956,-11683.072553835053
112.5,-191,-13038.139831598426,-11621.168597949947
112.5,-190,-12990.789470392287,-11560.550541925808
112.5,-189,-12943.407537633198,-11496.904679302123
112.5,-188,-12895.113807378988,-11437.305880804774
112.5,-187,-12846.753529106578,-11374.618223955375
112.5,-186,-12797.899393314137,-11313.953172142985
112.5,-185,-12748.769775082781,-11252.776810738776
112.5,-184,-12699.353852611164,-11191.072406787169
112.5,-183,-12649.6404697294,-11131.848477533402
125.0,-200,-13457.081196897649,-12132.247839019356
125.0,-199,-13409.772643641745,-12080.088606959678
125.0,-198,-13362.376748676583,-12027.69004488712
125.0,-197,-13314.88878693253,-11975.03895810008
125.0,-196,-13267.304012904038,-11922.12148424733
125.0,-195,-13219.617659451756,-11868.923026815768
125.0,-194,-13171.824937571535,-11815.428181233452
125.0,-193,-13127.465636873283,-11753.495758443803
125.0,-192,-13082.074578277907,-11691.756521093885
125.0,-191,-13036.222239840423,-11628.839813858298
125.0,-190,-12989.468088789254,-11566.717750929609
125.0,-189,-12941.956508273037,-11505.850790341105
125.0,-188,-12894.404540334823,-11441.976145634524
125.0,-187,-12845.941658056563,-11382.08830716678
125.0,-186,-12797.403292229343,-11319.131557838467
125.0,-185,-12748.3666323046,-11258.160210671464
125.0,-184,-12699.04737478246,-11196.667887719255
125.0,-183,-12649.434532647367,-11134.637621539343
125.0,-182,-12599.516773817199,-11075.04181428911
137.5,-200,-13456.86219528323,-12132.019992982616
137.5,-199,-13409.554773218264,-12079.86477377276
137.5,-198,-13362.160047092673,-12027.470462187244
137.5,-197,-13314.673292488837,-11974.823881105132
137.5,-196,-13267.089764449947,-11921.911187452211
137.5,-195,-13219.404696254593,-11868.71780589457
137.5,-194,-13171.61329914965,-11815.228355181509
137.5,-193,-13124.316095112474,-11760.16933827014
137.5,-192,-13079.72295663975,-11697.863463706293
137.5,-191,-13034.106078854835,-11635.743628967482
137.5,-190,-12987.574943258514,-11574.29143478063
137.5,-189,-12940.651248119113,-11511.943921478245
137.5,-188,-12893.305059271106,-11448.645579795928
137.5,-187,-12845.240701684834,-11386.707693327146
137.5,-186,-12796.60106791906,-11326.518678853521
137.5,-185,-12747.876624201645,-11263.282889707974
137.5,-184,-12698.649447955726,-11201.992548386435
137.5,-183,-12649.13232562096,-11140.171199141763
137.5,-182,-12599.314091262184,-11077.80162082019
137.5,-181,-12549.183222364598,-11017.817017576606
150.0,-200,-13456.643167090499,-12131.79209761027
150.0,-199,-13409.336875962083,-12079.640888155476
150.0,-198,-13361.943318438089,-12027.250823674265
150.0,-197,-13314.457770756675,-11974.608744593761
150.0,-196,-13266.875488514457,-11921.70082707853
150.0,-195,-13219.19170541242,-11868.51251693169
150.0,-194,-13171.401632955327,-11815.028456175682
150.0,-193,-13123.500461290047,-11761.232401203417
150.0,-192,-13076.66285152955,-11704.60984076153
150.0,-191,-13031.288102451832,-11643.407290937383
150.0,-190,-12985.49018122692,-11581.091726126706
150.0,-189,-12939.22041958464,-11517.57342503695
150.0,-188,-12891.682949551054,-11456.83096035067
150.0,-187,-12844.15520601021,-11393.294664724393
150.0,-186,-12795.909058597592,-11331.082629698922
150.0,-185,-12747.30543217111,-11268.152710358743
150.0,-184,-12698.165969712438,-11207.054562416968
150.0,-183,-12648.739972339077,-11145.431911832356
150.0,-182,-12599.01642795548,-11083.267825169494
150.0,-181,-12548.983976934547,-11020.544806440563
150.0,-180,-12498.6308906298,-10960.153525957801
162.5,-200,-13456.424117477802,-12131.564155995111
162.5,-199,-13409.118957058032,-12079.416953207574
162.5,-198,-13361.726567922995,-12027.031132454065
