pressure,temperature,nitrogen,oxygen,vaporFraction,enthalpy
100,-200,0,1,0,-13473.4435419481
100,-200,0.025,0.975,0,-13437.737541331
100,-200,0.05,0.95,0,-13402.1962260234
100,-200,0.075,0.925,0,-13366.8164157283
100,-200,0.1,0.9,0,-13331.5949855463
100,-200,0.125,0.875,0,-13296.528864098
100,-200,0.15,0.85,0,-13261.6150316775
100,-200,0.175,0.825,0,-13226.8505184572
100,-200,0.2,0.8,0,-13192.2324027254
100,-200,0.225,0.775,0,-13157.7578091623
100,-200,0.25,0.75,0,-13123.4239071579
100,-200,0.275,0.725,0,-13089.2279091494
100,-200,0.3,0.7,0,-13055.1670690045
100,-200,0.325,0.675,0,-13021.238680417
100,-200,0.35,0.65,0,-12987.4400753422
100,-200,0.375,0.625,0,-12953.768622451
100,-200,0.4,0.6,0,-12920.2217256025
100,-200,0.425,0.575,0,-12886.7968223421
100,-200,0.45,0.55,0,-12853.491382416
100,-200,0.475,0.525,0,-12820.302906304
100,-200,0.5,0.5,0,-12787.228923758
100,-200,0.525,0.475,0,-12754.2669923585
100,-200,0.55,0.45,0,-12721.4146960848
100,-200,0.575,0.425,0,-12688.6696438807
100,-200,0.6,0.4,0,-12656.029468239
100,-200,0.625,0.375,0,-12623.4918237766
100,-200,0.65,0.35,0,-12591.0543858209
100,-200,0.675,0.325,0,-12558.714848986
100,-200,0.7,0.3,0,-12526.4709257537
100,-200,0.725,0.275,0,-12494.3203450386
100,-200,0.75,0.25,0,-12462.2608507524
100,-200,0.775,0.225,0,-12430.2902003514
100,-200,0.8,0.2,0,-12398.4061633738
100,-200,0.825,0.175,0,-12366.6065199533
100,-200,0.85,0.15,0,-12334.8890593205
100,-200,0.875,0.125,0,-12303.2515782747
100,-200,0.9,0.1,0,-12271.6918796306
100,-200,0.925,0.075,0,-12240.2077706378
100,-200,0.95,0.05,0,-12208.7970613582
100,-200,0.975,0.025,0,-12177.4575630152
100,-200,1,0,0,-12146.1870862944
100,-199,0,1,0,-13426.0224654
100,-199,0.025,0.975,0,-13390.2089930774
100,-199,0.05,0.95,0,-13354.5598536242
100,-199,0.075,0.925,0,-13319.0718402721
100,-199,0.1,0.9,0,-13283.7418012275
100,-199,0.125,0.875,0,-13248.5666377566
100,-199,0.15,0.85,0,-13213.5433023153
100,-199,0.175,0.825,0,-13178.6687967216
100,-199,0.2,0.8,0,-13143.9401703682
100,-199,0.225,0.775,0,-13109.3545184685
100,-199,0.25,0.75,0,-13074.9089803323
100,-199,0.275,0.725,0,-13040.6007376838
100,-199,0.3,0.7,0,-13006.4270129979
100,-199,0.325,0.675,0,-12972.3850678651
100,-199,0.35,0.65,0,-12938.47220139
100,-199,0.375,0.625,0,-12904.6857485989
100,-199,0.4,0.6,0,-12871.0230788774
100,-199,0.425,0.575,0,-12837.4815944249
100,-199,0.45,0.55,0,-12804.0587287166
100,-199,0.475,0.525,0,-12770.7519449949
100,-199,0.5,0.5,0,-12737.5587347517
100,-199,0.525,0.475,0,-12704.4766162403
100,-199,0.55,0.45,0,-12671.5031329799
100,-199,0.575,0.425,0,-12638.6358522713
100,-199,0.6,0.4,0,-12605.8723637122
100,-199,0.625,0.375,0,-12573.2102777144
100,-199,0.65,0.35,0,-12540.6472240139
100,-199,0.675,0.325,0,-12508.180850182
100,-199,0.7,0.3,0,-12475.8088201236
100,-199,0.725,0.275,0,-12443.5288125661
100,-199,0.75,0.25,0,-12411.3385195327
100,-199,0.775,0.225,0,-12379.2356448065
100,-199,0.8,0.2,0,-12347.2179023634
100,-199,0.825,0.175,0,-12315.2830147895
100,-199,0.85,0.15,0,-12283.428711672
100,-199,0.875,0.125,0,-12251.6527279557
100,-199,0.9,0.1,0,-12219.9528022691
100,-199,0.925,0.075,0,-12188.3266752102
100,-199,0.95,0.05,0,-12156.7720875912
100,-199,0.975,0.025,0,-12125.2867786348
100,-199,1,0,0,-12093.8684841172
100,-198,0,1,0,-13378.5031690775
100,-198,0.025,0.975,0,-13342.5798548042
100,-198,0.05,0.95,0,-13306.8204703941
100,-198,0.075,0.925,0,-13271.221781234
100,-198,0.1,0.9,0,-13235.780607191
100,-198,0.125,0.875,0,-13200.4938206786
100,-198,0.15,0.85,0,-13165.3583447542
100,-198,0.175,0.825,0,-13130.3711512594
100,-198,0.2,0.8,0,-13095.5292589998
100,-198,0.225,0.775,0,-13060.8297319558
100,-198,0.25,0.75,0,-13026.2696775255
100,-198,0.275,0.725,0,-12991.8462448024
100,-198,0.3,0.7,0,-12957.5566228725
100,-198,0.325,0.675,0,-12923.3980391454
100,-198,0.35,0.65,0,-12889.3677576982
100,-198,0.375,0.625,0,-12855.4630776491
100,-198,0.4,0.6,0,-12821.6813315446
100,-198,0.425,0.575,0,-12788.0198837655
100,-198,0.45,0.55,0,-12754.4761289372
100,-198,0.475,0.525,0,-12721.0474903602
100,-198,0.5,0.5,0,-12687.731418453
100,-198,0.525,0.475,0,-12654.5253891884
100,-198,0.55,0.45,0,-12621.4269025396
100,-198,0.575,0.425,0,-12588.4334809324
100,-198,0.6,0.4,0,-12555.5426676865
100,-198,0.625,0.375,0,-12522.7520254637
100,-198,0.65,0.35,0,-12490.059134694
100,-198,0.675,0.325,0,-12457.4615920092
100,-198,0.7,0.3,0,-12424.957008653
100,-198,0.725,0.275,0,-12392.5430088722
100,-198,0.75,0.25,0,-12360.217228302
100,-198,0.775,0.225,0,-12327.9773123162
100,-198,0.8,0.2,0,-12295.8209143537
100,-198,0.825,0.175,0,-12263.7456942229
100,-198,0.85,0.15,0,-12231.7493163604
100,-198,0.875,0.125,0,-12199.8294480578
100,-198,0.9,0.1,0,-12167.9837576523
100,-198,0.925,0.075,0,-12136.2099126512
100,-198,0.95,0.05,0,-12104.5055778252
100,-198,0.975,0.025,0,-12072.868413228
100,-198,1,0,0,-12041.2960721591
100,-197,0,1,0,-13330.880091737
100,-197,0.025,0.975,0,-13294.8444592706
100,-197,0.05,0.95,0,-13258.9722999451
100,-197,0.075,0.925,0,-13223.2603497862
100,-197,0.1,0.9,0,-13187.7053987518
100,-197,0.125,0.875,0,-13152.3042887684
100,-197,0.15,0.85,0,-13117.0539117887
