pressure,temperature,nitrogen,oxygen
100.0,-195,-6229.873107097643,-6343.520275983261
100.0,-194,-6201.820785613759,-6314.478756321433
100.0,-193,-6173.795304373564,-6285.465502194814
100.0,-192,-6145.794940577173,-6256.47898164233
100.0,-191,-6117.782705389438,-6227.520625364607
100.0,-190,-6089.795160694757,-6198.5876906105805
100.0,-189,-6061.830759785618,-6169.678836658385
100.0,-188,-6033.888047045382,-6140.792800949423
100.0,-187,-6005.936321556649,-6111.934977486272
100.0,-186,-5978.006569038902,-6083.099523441868
100.0,-185,-5950.097442791463,-6054.28529298024
100.0,-184,-5922.183341832884,-6025.501219700707
100.0,-183,-5894.3131995551175,-5996.727225283559
100.0,-182,-5866.547276781627,-5967.925215900309
100.0,-181,-5838.790298396395,-5939.1373695951415
100.0,-180,-5811.041526737639,-5910.362950696818
100.0,-179,-5783.300261788685,-5881.601260888346
100.0,-178,-5755.56583874262,-5852.851636802946
100.0,-177,-5727.837625758472,-5824.113447807975
100.0,-176,-5700.115021891151,-5795.386093959416
100.0,-175,-5672.397455179311,-5766.66900411161
100.0,-174,-5644.684380877,-5737.961634168243
100.0,-173,-5616.975279816316,-5709.263465462283
100.0,-172,-5589.269656889684,-5680.574003253594
100.0,-171,-5561.567039641481,-5651.892775334226
100.0,-170,-5533.86697695972,-5623.219330732295
100.0,-169,-5506.169037859428,-5594.553238506222
100.0,-168,-5478.472810350193,-5565.894086621999
100.0,-167,-5450.77790038099,-5537.2414809066695
100.0,-166,-5423.083930856141,-5508.595044072022
100.0,-165,-5395.390540716683,-5479.954414802894
100.0,-164,-5367.697384082139,-5451.319246905121
100.0,-163,-5340.004129447943,-5422.6892085085055
100.0,-162,-5312.310458934323,-5394.0639813206235
100.0,-161,-5284.616067582722,-5365.443259927698
100.0,-160,-5256.920662696284,-5336.826751139034
112.5,-194,-6210.4729179225415,-6322.497692884879
112.5,-193,-6182.279459883079,-6293.33513696473
112.5,-192,-6154.117011461395,-6264.204468786002
112.5,-191,-6125.983645885872,-6235.103983172904
112.5,-190,-6097.838141745202,-6206.035276998248
112.5,-189,-6069.758974745667,-6176.991104094838
112.5,-188,-6041.667308770822,-6147.977395755628
112.5,-187,-6013.566389740315,-6118.995648660716
112.5,-186,-5985.525307724786,-6090.0332547757225
112.5,-185,-5957.475290647761,-6061.102341025781
112.5,-184,-5929.420244042129,-6032.2052515838
112.5,-183,-5901.418730697382,-6003.32249090438
112.5,-182,-5873.413047090372,-5974.47373034016
112.5,-181,-5845.55177178564,-5945.5829894572025
112.5,-180,-5817.7015480756645,-5916.7084727817755
112.5,-179,-5789.861556462245,-5887.849365524275
112.5,-178,-5762.031019526672,-5859.004894480319
112.5,-177,-5734.209199183769,-5830.1743253339855
112.5,-176,-5706.395394154078,-5801.356960173862
112.5,-175,-5678.588937633824,-5772.552135202061
112.5,-174,-5650.789195144381,-5743.7592186185675
112.5,-173,-5622.995562544948,-5714.9776086651045
112.5,-172,-5595.2074641939,-5686.206731814356
112.5,-171,-5567.4243512456305,-5657.446041091826
112.5,-170,-5539.645700071195,-5628.695014518894
112.5,-169,-5511.8710107921,-5599.9531536667455
112.5,-168,-5484.099805917757,-5571.219982311911
112.5,-167,-5456.331629077921,-5542.495045184978
112.5,-166,-5428.566043842308,-5513.777906804901
112.5,-165,-5400.802632620409,-5485.0681503920005
112.5,-164,-5373.040995634987,-5456.365376853395
112.5,-163,-5345.280749963527,-5427.669203835237
112.5,-162,-5317.52152864232,-5398.979264836474
112.5,-161,-5289.762979828324,-5370.295208379573
112.5,-160,-5262.004766014511,-5341.616697233761
125.0,-193,-6190.87356101265,-6301.27621991347
125.0,-192,-6162.543363235355,-6271.997083000721
125.0,-191,-6134.248197593953,-6242.753302671575
125.0,-190,-6105.985939449475,-6213.543007377001
125.0,-189,-6077.711232219958,-6184.367959215729
125.0,-188,-6049.468883082556,-6155.224806041644
125.0,-187,-6021.2569935548645,-6126.111914961863
125.0,-186,-5993.07377864517,-6097.027749527088
125.0,-185,-5964.917558185257,-6067.970862458051
125.0,-184,-5936.752395162389,-6038.948929517051
125.0,-183,-5908.614660115774,-6009.953848607538
125.0,-182,-5880.472589650141,-5980.99624506509
125.0,-181,-5852.358897547307,-5952.0657054662215
125.0,-180,-5824.405109573371,-5923.089268683199
125.0,-179,-5796.464398649907,-5894.131027217783
125.0,-178,-5768.535866512569,-5865.190090695439
125.0,-177,-5740.618661272939,-5836.265614386396
125.0,-176,-5712.711974368633,-5807.356796225864
125.0,-175,-5684.815037757915,-5778.4628740712815
125.0,-174,-5656.927121335815,-5749.583123174342
125.0,-173,-5629.047530551041,-5720.716853848023
125.0,-172,-5601.175604205314,-5691.863409310776
125.0,-171,-5573.310712418664,-5663.022163692136
125.0,-170,-5545.452254745907,-5634.192520185428
125.0,-169,-5517.599658431102,-5605.373909334771
