Place	P	T	L	V	x_N2	x_O2	x_Ar	y_N2	y_O2	y_Ar	LiqEtlp	LiqRho	LiqMass	VapEtlp	VapRho	VapMass
10__Main Tower	548.424390243903	-177.623798579583	2198.86953356738	3475.98618558675	0.966278418056925	0.0273558060859748	0.00636577585710014	0.984988585840431	0.0115318762542126	0.00347953790535645	-10918.3391675695	25.7994492467704	28.1980436173853	-6078.12824954994	0.804880100681383	28.1005063629548
10__Main Tower	548.424390243903	-177.484744410694	2098.21708320787	3468.59948935663	0.950871981689058	0.0401412085006563	0.00898680981028583	0.978011817181723	0.0170410028235322	0.00494717999474479	-10927.2177777956	25.8993052821755	28.2803010544004	-6070.78123061971	0.80326384902405	28.1399875582491
10__Main Tower	548.424390243903	-177.266773258663	1991.02292889177	3455.13718088101	0.927034337849428	0.060297891918802	0.0126677702317695	0.967064814700037	0.0258830186810836	0.00705216661887937	-10941.611322545	26.0546694920137	28.4045980090319	-6059.57349535495	0.800748335724058	28.2003636894055
10__Main Tower	548.424390243903	-176.933941892697	1882.75566407743	3437.38541885858	0.891529985475366	0.091662208645001	0.0168078058796331	0.950443700677693	0.0400320372081007	0.00952426211420641	-10965.4432413885	26.2886355193386	28.5790588556474	-6043.62198294717	0.796950624515696	28.2862802824957
10__Main Tower	548.424390243903	-176.404535028783	1764.05237120022	3408.56845431766	0.837384270142561	0.143841862602825	0.0187738672546142	0.924450768590516	0.064595135493308	0.0109540959161756	-11009.643637988	26.6521918772195	28.8105640557092	-6022.0818563283	0.791006115739106	28.4012784117552
10__Main Tower	548.424390243903	-175.53406542064	1632.70233899935	3360.92188104449	0.753745772271189	0.232210101251493	0.0140441264773182	0.882068640097849	0.109312095433943	0.00861926446820844	-11091.4744574114	27.227575926125	29.1064387173806	-5993.84213227993	0.781490633840032	28.5516986926662
10__Main Tower	548.424390243903	-175.193968420602	1529.40581591369	3344.30775879875	0.722533238069611	0.265899146619015	0.0115676153113736	0.86517968441535	0.127575116380919	0.00724519920373081	-11122.9495031807	27.4451458692978	29.2111997606446	-5983.50497516391	0.777853300805832	28.6081138774457
10__Main Tower	548.424390243903	-175.147778248009	1434.87590762933	3340.59794844472	0.718234400461357	0.270131157257146	0.0116344422814971	0.862762739725633	0.129930905463812	0.0073063548105552	-11126.4975450018	27.4748699135419	29.2288703649727	-5981.72213038361	0.777361488514515	28.6182362996204
10__Main Tower	548.424390243903	-177.623455215794	2198.22285726036	3475.91198292688	0.966239564202846	0.027387370918831	0.00637306487832296	0.984970933254858	0.0115454741827565	0.00348359256238539	-10918.3603058362	25.799700144665	28.1982564608367	-6078.10918599638	0.804876016498763	28.1006089702265
10__Main Tower	548.424390243903	-177.484673985159	2097.69032588559	3468.00906606823	0.950864191077899	0.0401475507899592	0.00898825813214183	0.978008026313179	0.0170439487069002	0.00494802497992033	-10927.2220282635	25.8993557650849	28.2803436268281	-6070.77719100941	0.803262980723008	28.1400093883838
10__Main Tower	548.424390243903	-177.266382553095	1990.7189757958	3454.92076344618	0.926991901380449	0.0603339671945242	0.0126741314250273	0.967045128868424	0.0258990205102871	0.00705585062128869	-10941.6367199853	26.0549453130966	28.4048177619888	-6059.55353713987	0.800743840776615	28.2004714572646
10__Main Tower	548.424390243903	-176.933914711179	1882.77665842076	3437.42960148057	0.891527082540582	0.0916646317194571	0.0168082857399609	0.950442298300996	0.040033153811062	0.00952454788794165	-10965.444917925	26.2886546147401	28.5790742435777	-6043.62054942363	0.796950315216675	28.2862881451011
10__Main Tower	548.424390243903	-176.404731659749	1764.04409649261	3408.5091330904	0.837404373062879	0.143823986862622	0.018771640074499	0.924460856475354	0.0645864597397775	0.0109526837848681	-11009.6301892109	26.6520575130003	28.810466203744	-6022.09117391956	0.791008297155165	28.401226967741
10__Main Tower	548.424390243903	-175.534059127793	1632.28080410807	3360.29291911454	0.753747855890925	0.232223088980945	0.01402905512813	0.882071884705445	0.109318086976901	0.0086100283176537	-11091.5010130191	27.2275737114713	29.1063106228783	-5993.85592761152	0.781490579835632	28.5516123474755
10__Main Tower	548.424390243903	-175.194045566521	1529.3961128912	3344.30234173797	0.722540524512271	0.265891788302008	0.0115676871857211	0.86518367366797	0.127571112135221	0.00724521419680881	-11122.9431373891	27.445095356109	29.2111712808588	-5983.50777703022	0.77785412323732	28.6080980914625
10__Main Tower	548.424390243903	-175.147785981394	1434.89152491296	3340.61255140303	0.718235069480288	0.270130375678541	0.0116345548411715	0.862763114186071	0.129930464137653	0.00730642167627673	-11126.4967620683	27.4748651863611	29.228868592219	-5981.72231136656	0.777361570495504	28.6182353380957
10__Main Tower	548.424390243903	-177.623221830927	2197.65344948217	3475.53335952474	0.966213545777523	0.0274085449498822	0.00637790927259445	0.984959171573459	0.0115545444102803	0.00348628401626096	-10918.3745304148	25.7998681872541	28.1983986995405	-6078.09649678062	0.804873294381576	28.1006772557249
10__Main Tower	548.424390243903	-177.483316235862	2096.80252756267	3468.10717095787	0.950709740426118	0.0402750996760365	0.00901515989784573	0.977938515490347	0.0170985310227311	0.0049629534869215	-10927.3097204765	25.9003580077393	28.2811732367853	-6070.70381412039	0.803247006446414	28.140405179802
10__Main Tower	548.424390243903	-177.266635799133	1990.72737364347	3454.80518270332	0.927019516136265	0.0603104608794928	0.012670022984242	0.96705792245623	0.0258886040256184	0.00705347351815207	-10941.6201332458	26.0547657991024	28.4046750080759	-6059.56648673187	0.800746763563782	28.2004015560161
10__Main Tower	548.424390243903	-176.934069678702	1882.93864177028	3437.59254226598	0.891543416450586	0.0916499456608748	0.0168066378885391	0.950450052036831	0.0400264134726913	0.00952353449047725	-10965.4334987667	26.2885463496413	28.5789960231603	-6043.6277780176	0.796952076580204	28.2862491764752
10__Main Tower	548.424390243903	-176.404215911678	1763.85449599582	3408.37961294286	0.83735193158338	0.143873711049613	0.0187743573670074	0.924434823683451	0.0646105964819414	0.0109545798346075	-11009.671099107	26.6524104661005	28.8106968849431	-6022.06928880989	0.791002517020899	28.4013458302765
10__Main Tower	548.424390243903	-175.530718055293	1631.6792576781	3359.78606757511	0.753411750005584	0.232528200533569	0.0140600494608462	0.881891811496136	0.109477900940048	0.00863028756381582	-11091.7327328067	27.2298637598739	29.1078970198932	-5993.70126731718	0.781454028894365	28.5524913197993
