Place	LiqEtlp	LiqRho	LiqMass	VapEtlp	VapRho	VapMass
Condenser	-10930.2485252381	25.6767374021926	28.0132839041698	-6098.07945004394	0.779532560640574	28.0131520497284
42__Main Tower	-10930.2372308022	25.6768894156683	28.0135304865218	-6098.05700465167	0.779530855031414	28.0132839041695
41__Main Tower	-10929.0337195842	25.6747860126107	28.0138111909513	-6097.90771378883	0.780425609133844	28.013434089269
40__Main Tower	-10928.2875912986	25.6711869864807	28.0141306848924	-6097.76030864211	0.781322014925693	28.0136050758662
39__Main Tower	-10926.8481296538	25.6683762387738	28.0144942781102	-6097.60414391921	0.782216312786093	28.0137997102397
38__Main Tower	-10926.3958105612	25.6658158871812	28.0149080160425	-6097.59379865392	0.783230684587816	28.0140212306224
37__Main Tower	-10924.9181397898	25.6629684559142	28.015378789524	-6097.42507102023	0.784124235845035	28.0142733242921
36__Main Tower	-10924.1644616275	25.6610367509184	28.0159144644268	-6097.25067451202	0.785017370841169	28.0145601944061
35__Main Tower	-10923.0763462107	25.6580730076234	28.0165240366147	-6097.07070749902	0.785910088803481	28.0148866390126
34__Main Tower	-10921.9338365475	25.6550080430351	28.0172178196563	-6096.88398324433	0.786802286390292	28.0152581455503
33__Main Tower	-10921.0224912068	25.6527944075602	28.0180076755974	-6096.68744875131	0.787693708479812	28.0156810053587
32__Main Tower	-10919.9041698194	25.6502174245017	28.0189073033005	-6096.48272432772	0.788584456855126	28.0161624545056
31__Main Tower	-10918.8902721494	25.6474913591298	28.0199326049461	-6096.26750787474	0.789474316457912	28.0167108498154
30__Main Tower	-10917.8675430226	25.6451393675084	28.0211021598545	-6096.03990810683	0.790363087083746	28.0173358925698
29__Main Tower	-10916.8353540533	25.6428835046641	28.022437846671	-6095.79722672224	0.791250478645784	28.0180489172646
28__Main Tower	-10915.793291647	25.6407428652855	28.0239656720838	-6095.54838824075	0.792137123009811	28.0188632698692
27__Main Tower	-10914.7413246898	25.6387421460906	28.0257168905168	-6095.26686471708	0.793020687678024	28.0197948110571
26__Main Tower	-10913.6800591452	25.6369138260392	28.02772953977	-6094.96282097904	0.793901765520458	28.0208625971876
25__Main Tower	-10912.6111206077	25.635301307447	28.0300505763338	-6094.63094846865	0.794779571022697	28.0220898169785
24__Main Tower	-10911.5377251853	25.6339634555323	28.0327388735857	-6094.26732136795	0.795653277899374	28.0235050953808
23__Main Tower	-10910.4655276578	25.6329811668218	28.0358694527574	-6093.86505040008	0.796521570004966	28.0251443206378
22__Main Tower	-10909.4038769709	25.6324668721349	28.0395394681751	-6093.41525070766	0.797382607793044	28.0270532141784
21__Main Tower	-10908.3676666588	25.6325782766769	28.0438766930772	-6092.91138959271	0.79823433714511	28.0292909597002
20__Main Tower	-10907.3800477159	25.633538202885	28.0490515765543	-6092.32607879079	0.799071827172286	28.0319353505047
19__Main Tower	-10906.4763820195	25.6356631761095	28.0552943772499	-6091.64837961726	0.799890853095372	28.0350901091693
18__Main Tower	-10905.7099636424	25.6394044148918	28.0629194212506	-6090.84997218278	0.800683959203801	28.0388952828608
17__Main Tower	-10905.1602245663	25.6454061584296	28.0723591594443	-6089.89357785401	0.801440565148382	28.0435419235608
16__Main Tower	-10904.9443542609	25.6545876984127	28.0842113382097	-6088.72728473695	0.802145744698706	28.0492926188887
15__Main Tower	-10905.2334440892	25.6682567260742	28.099303005472	-6087.27788492965	0.802777435725989	28.056509792261
14__Main Tower	-10906.2742782108	25.688261751434	28.1187746380393	-6085.44891323271	0.80330623168675	28.0656938663202
13__Main Tower	-10908.4174216096	25.7171883407207	28.1441850739943	-6083.09916064173	0.803687673504464	28.0775329649745
12__Main Tower	-10912.1506765615	25.7585936039011	28.1776306462353	-6080.05135996912	0.803865959998871	28.0929639630653
11__Main Tower	-10918.1331816263	25.817248343379	28.2218557187511	-6076.04728900356	0.803757498643098	28.1132398037215
10__Main Tower	-10927.2177777956	25.8993052821755	28.2803010544004	-6070.78123061971	0.80326384902405	28.1399875582491
9__Main Tower	-10940.4303788233	26.0121327361776	28.356987294336	-6063.87191107526	0.802261123344309	28.1752225836781
8__Main Tower	-10958.9046115574	26.1640916002117	28.456072528243	-6054.89486217618	0.800611324368035	28.2212551447117
7__Main Tower	-10983.6019409538	26.3624029369467	28.5809011744559	-6043.46835165331	0.798191678475965	28.2803951139064
6__Main Tower	-11014.9985937256	26.6110124262217	28.7324819695571	-6029.35500012279	0.794927242622121	28.354358866564
5__Main Tower	-11052.5814811163	26.9069710863295	28.907725714796	-6012.67117492333	0.790857987809019	28.4433725330764
4__Main Tower	-11079.730049686	27.121735471219	29.0322547114505	-6000.4806143948	0.788102101604869	28.5092507604946
3__Main Tower	-11100.4207340698	27.3036664863455	29.146544821971	-5988.9619853746	0.785878490009426	28.5731392331361
2__Main Tower	-11130.2480961668	27.5613044313529	29.3032244107399	-5972.86396816344	0.782356165448147	28.6639761943634
1__Main Tower	-11170.3403291129	27.9051311448525	29.5058032778832	-5951.36576174148	0.777304381270445	28.7880294817613
