Place	P	T	L	V	x_N2	x_O2	x_Ar	y_N2	y_O2	y_Ar
Condenser	540.028571428571	-178.113862706158	1843.91575950784	4.03867701198388E-05	0.998551800559172	2.12836563245217E-05	0.00142691578450384	0.99922477141825	8.80551019878903E-06	0.000766423071551019
42__Main Tower	540.028571428571	-178.104707985498	1843.32588689405	3428.95815165955	0.997292796802957	5.14193113939004E-05	0.00265578388564922	0.998551800567098	2.12836561775522E-05	0.00142691577672446
41__Main Tower	540.648083623693	-178.080681691196	1843.09328221265	3477.00981517507	0.996043749908795	8.99440965377876E-05	0.00386630599466711	0.997884343660478	3.72599795302696E-05	0.00207839635999137
40__Main Tower	541.267595818815	-178.056701451797	1842.86264549307	3476.77721049367	0.994803534997586	0.000139129324014498	0.00505733567839968	0.997222244191959	5.76816156811881E-05	0.00272007419236031
39__Main Tower	541.887108013937	-178.032748987949	1842.63270370323	3476.54657377409	0.993570381722835	0.000201849355364186	0.0062277689218011	0.99656490396087	8.37517906639923E-05	0.00335134424846629
38__Main Tower	542.506620209059	-178.008798737388	1842.40084722383	3476.31663198425	0.992341725233285	0.000281738186593135	0.00737653658012203	0.995911383645861	0.000116993080099452	0.00397162327403919
37__Main Tower	543.126132404181	-177.984816114357	1842.16348245675	3476.08477550485	0.991114022393155	0.000383385408953005	0.00850259219789169	0.99526032501899	0.000159330245435509	0.00458034473557478
36__Main Tower	543.745644599303	-177.960755344457	1841.91636881052	3475.84741073777	0.989882523695039	0.000512580948060316	0.00960489535690037	0.994609854414425	0.000213193871673443	0.00517695171390139
35__Main Tower	544.365156794425	-177.936556767243	1841.65487010551	3475.60029709155	0.988640989502703	0.000676620001921491	0.0106823904953756	0.993957462439339	0.000281649764546633	0.00576088779611486
34__Main Tower	544.984668989547	-177.912143479377	1841.37386374321	3475.33879838653	0.987381337360462	0.000884681917442186	0.0117339807220954	0.993299854064128	0.000368560121132794	0.00633158581473957
33__Main Tower	545.604181184669	-177.887417174012	1841.06712877265	3475.05779202423	0.98609320566182	0.00114829926628794	0.0127584950718923	0.992632762608306	0.000478783671190812	0.00688845372050349
32__Main Tower	546.223693379791	-177.862253016373	1840.72650236421	3474.75105705367	0.984763417814803	0.00148193591292388	0.0137546462722729	0.991950720616457	0.000618423237991582	0.00743085614555171
31__Main Tower	546.843205574913	-177.836493371927	1840.34125231229	3474.41043064523	0.983375328905355	0.00190369521145946	0.0147209758831856	0.991246779456635	0.000795130434826769	0.00795809010853788
30__Main Tower	547.462717770035	-177.809940174554	1839.89773668171	3474.02518059331	0.981908034050255	0.00243618127541616	0.0156557846743291	0.990512167750082	0.00101847839676144	0.0084693538531568
29__Main Tower	548.082229965157	-177.782345706195	1839.37908842702	3473.58166496273	0.980335416574317	0.00310753672968288	0.0165570466960005	0.989735877614006	0.00130041427472653	0.00896370811126712
28__Main Tower	548.701742160279	-177.753401573205	1838.76463789655	3473.06301670804	0.978625016875845	0.00395267807998153	0.0174223050441737	0.988904168028538	0.00165580319625463	0.0094400287752078
27__Main Tower	549.321254355401	-177.722725721348	1838.02891356855	3472.44856617757	0.97673671076317	0.0050147427021352	0.0182485465346946	0.9879999768365	0.00210307375503017	0.00989694940847016
26__Main Tower	549.940766550523	-177.689847452148	1837.14025693175	3471.71284184957	0.974621201402913	0.0063467463115168	0.0190320522855704	0.987002237678787	0.00266497065536782	0.0103327916658451
25__Main Tower	550.560278745645	-177.654190620725	1836.05933730374	3470.82418521277	0.972218355288318	0.00801342220407802	0.0197682225076044	0.985885106797442	0.00336941120959287	0.0107454819929653
24__Main Tower	551.179790940767	-177.615055552951	1834.73806272688	3469.74326558476	0.969455454393496	0.0100931678983719	0.0204513777081326	0.984617118842248	0.00425042670291931	0.011132454454833
23__Main Tower	551.799303135889	-177.571600773981	1833.11927360471	3468.4219910079	0.966245499742216	0.0126799544735815	0.0210745457842026	0.983160313044884	0.00534914440385204	0.0114905425512639
22__Main Tower	552.418815331011	-177.52282646868	1831.13707194493	3466.80320188573	0.96248579396115	0.0158849516476898	0.0216292543911601	0.981469405277358	0.00671472776073695	0.0118158669619049
21__Main Tower	553.038327526133	-177.467562792505	1828.71725173746	3464.82100022595	0.958057161182045	0.0198374801486411	0.0221053586693137	0.979491132869044	0.00840513683477436	0.0121037302961818
20__Main Tower	553.657839721255	-177.404467774495	1825.77771999109	3462.40118001848	0.952824334625054	0.0246847190891103	0.0224909462858359	0.977163971202009	0.010487494388327	0.0123485344096639
19__Main Tower	554.277351916376	-177.332041515904	1822.2296639592	3459.46164827211	0.946638239523721	0.0305893820687051	0.0227723784075745	0.974418511349766	0.0130377456060036	0.0125437430442308
18__Main Tower	554.896864111498	-177.248665375131	1817.98077630002	3455.91359224022	0.939341078811439	0.0377243737631386	0.0229345474254227	0.97117888502523	0.0161391911822605	0.0126819237925092
17__Main Tower	555.51637630662	-177.152676189585	1812.94153073336	3451.66470458104	0.930775210410645	0.0462633362650083	0.0229614533243464	0.967365702524273	0.0198793808028445	0.0127549166728824
16__Main Tower	556.135888501742	-177.042485238637	1807.03491188977	3446.62545901438	0.920796663490874	0.0563661312840498	0.0228372052250757	0.962900988910107	0.024344825229682	0.0127541858602109
15__Main Tower	556.755400696864	-176.916748009115	1800.20932517894	3440.71884017079	0.909293606967393	0.0681588676816078	0.0225475253509993	0.95771549461252	0.0296130961517751	0.0126714092357049
14__Main Tower	557.374912891986	-176.774582110246	1792.45357662894	3433.89325345996	0.89620899329978	0.0817092550796258	0.0220817516205946	0.951758432051552	0.035742229272026	0.0124993386764225
13__Main Tower	557.994425087108	-176.615815851826	1783.81168220411	3426.13750490996	0.881564915490642	0.0969998927728653	0.021435191736493	0.945009077704678	0.0427580087103868	0.0122329135849347
12__Main Tower	558.61393728223	-176.441230332396	1774.39403515239	3417.49561048513	0.865484200964841	0.113904311032022	0.0206114880031368	0.937488789510351	0.0506406832349895	0.0118705272546593
11__Main Tower	559.233449477352	-176.252738715964	1764.38076923241	3408.07796343341	0.848203141787967	0.132172397500843	0.01962446071119	0.929271004316238	0.0593137548521559	0.0114152408316061
10__Main Tower	559.852961672474	-176.053437391486	1754.01383999568	3398.06469751342	0.830069121927076	0.15143207245956	0.0184988056133639	0.92048610558216	0.0686382479154277	0.010875646502412
9__Main Tower	560.472473867596	-175.84747582977	1743.57676561158	3387.69776827669	0.811519227377234	0.171211636805092	0.0172691358176749	0.911318236555909	0.0784157087942329	0.0102660546498581
8__Main Tower	561.091986062718	-175.639730363238	1733.36453627017	3377.2606938926	0.793040751655055	0.190982022626841	0.0159772257181039	0.901992583328848	0.0884016455236493	0.009605771147503
7__Main Tower	561.71149825784	-175.435323891393	1723.64960351215	3367.04846455118	0.775120344443154	0.210211810435722	0.0146678451211236	0.892754225114412	0.0983283250416192	0.00891744984396833
6__Main Tower	562.331010452962	-175.239086642072	861.193685453642	3357.33353179317	0.758192765895963	0.228423187850112	0.0133840462539248	0.883842452479221	0.107932760044941	0.00822478747583796
5__Main Tower	562.950522648084	-175.055057221349	857.110239013006	3348.36430095436	0.742598736900081	0.245238245762092	0.0121630173378266	0.875465158228562	0.116984740138694	0.00755010163274421
4__Main Tower	563.570034843206	-174.96303045996	2234.47670119634	3344.28085451372	0.735558403763548	0.252848707638453	0.0115928885979993	0.871611735939167	0.121158224956651	0.00723003910418228
3__Main Tower	564.189547038328	-174.605599009748	2214.25163258638	3226.93070252734	0.704007543952558	0.283460313347147	0.0125321427002953	0.853557483884029	0.138469765023566	0.00797275109240524
2__Main Tower	564.80905923345	-174.196950162603	2192.27385406277	3206.70563391738	0.668736990006244	0.31805585856478	0.0132071514289766	0.832515638745219	0.158885881570773	0.0085984796840075
1__Main Tower	565.428571428571	-173.751428129354	2239.38399947207	3184.72785539377	0.631363122297076	0.355107597167415	0.0135292805355091	0.809123250393167	0.181840759756852	0.00903598984998095
