Place	P	T	L	V	x_N2	x_O2	x_Ar	y_N2	y_O2	y_Ar	LiqEtlp	LiqRho	LiqMass	VapEtlp	VapRho	VapMass
26__Main Tower	538.512195121951	-178.157435151322	2211.40515879849	3481.85285913449	0.999525097729458	3.08710492913206E-05	0.00044403122125065	0.999748923461586	1.27571855788541E-05	0.000238319352834976	-10914.5350486647	25.6324455985572	28.0184230843751	-6095.81090377578	0.793972214845914	28.0158956929773
26__Main Tower	538.512195121951	-178.15140100299	2125.83812737267	3487.08882083983	0.998705097689852	9.12945635667001E-05	0.00120360774658169	0.999316124355676	3.7738774226603E-05	0.000646136870097555	-10913.6800591452	25.6369138260392	28.02772953977	-6094.96282097904	0.793901765520458	28.0208625971876
26__Main Tower	538.512195121951	-178.134126752114	2035.15757923862	3488.17256867889	0.996368572701864	0.00029915118232648	0.00333227611580928	0.998086299342949	0.000123773161623104	0.00178992749542829	-10911.7526358319	25.6506159903733	28.0539639239175	-6092.56799596515	0.793699906777231	28.0348567589322
26__Main Tower	538.512195121951	-178.08895559421	1941.00281471224	3484.10306342301	0.990339302007247	0.00109608140721961	0.00856461658553393	0.9949371533327	0.000454591439231853	0.00460825522806872	-10907.2765355481	25.686199131311	28.1195892750267	-6086.5769540267	0.793173585978668	28.069812476603
26__Main Tower	538.512195121951	-177.983288134386	1844.26380156414	3478.72645451035	0.9768676893814	0.00508198933385356	0.0180503212847468	0.988126554580692	0.0021194302046487	0.00975401521465915	-10901.4649512376	25.7675324910735	28.2486929865957	-6074.80112550245	0.79194946195724	28.1378648404544
26__Main Tower	538.512195121951	-177.515649725318	1729.43989792258	3457.91690565543	0.925419726633518	0.0495284953818663	0.0250517779846155	0.964974249267205	0.0211548214831413	0.0138709292496531	-10934.42486771	26.102722701299	28.5094635798347	-6051.41580075044	0.786637249742131	28.2628943108485
26__Main Tower	538.512195121951	-175.608798947588	1530.19191434041	3346.27928258985	0.737811012684712	0.249314950048947	0.0128740372663413	0.874062478988437	0.11797596049451	0.00796156051705324	-11122.2034397581	27.3854406161007	29.1606707248442	-5990.87482261865	0.765927873779655	28.578391820872
26__Main Tower	538.512195121951	-175.394699759451	1433.04572067462	3339.22945358393	0.718100278442871	0.270020517996756	0.0118792035603728	0.863238537099912	0.129320646584821	0.00744081631526784	-11140.9764368946	27.5227374755369	29.231350472495	-5983.85487452175	0.763689689487137	28.6174079960112
26__Main Tower	538.512195121951	-178.157462531375	2217.01432549542	3487.31304765875	0.999528822779074	3.06149004950514E-05	0.000440562320431292	0.999750891677504	1.26513099795289E-05	0.000236457012516882	-10914.5365649031	25.6324182312304	28.0183806617739	-6095.81485507123	0.79397254176427	28.0158730438171
26__Main Tower	538.512195121951	-178.151395078873	2125.69794997032	3486.91204150719	0.998704285890636	9.13584878929227E-05	0.00120435562147112	0.99931569895683	3.77651620388543E-05	0.000646535881131109	-10913.6793736606	25.6369185793629	28.0277387205241	-6094.96198226389	0.793901695469782	28.020867464593
26__Main Tower	538.512195121951	-178.134084935509	2035.07648069037	3488.2016187555	0.996362927086328	0.000299682899479138	0.00333739001419249	0.998083329604234	0.00012399342963045	0.00179267696613547	-10911.7480350772	25.6506491278874	28.0540270782577	-6092.56221601231	0.793699417182875	28.0348904520773
26__Main Tower	538.512195121951	-178.08895909776	1941.01726734752	3484.12760595009	0.990339769119316	0.00109602162575245	0.00856420925493132	0.994937398083987	0.000454566556974701	0.0046080353590383	-10907.2768859501	25.6861963744555	28.1195841751867	-6086.5774204299	0.793173626784117	28.0698097532602
26__Main Tower	538.512195121951	-177.983287202526	1844.21502665437	3478.66171506412	0.97686762730476	0.00508228107317684	0.0180500916220631	0.988126558406772	0.00211955167414676	0.0097538899190816	-10901.4654421692	25.7675330749443	28.2486914087358	-6074.80128219949	0.791949451002137	28.1378638293503
26__Main Tower	538.512195121951	-177.51383980193	1728.9680617034	3457.3133656887	0.925232788743207	0.049728143742579	0.0250390675142144	0.96489283426217	0.0212419543476992	0.0138652113901308	-10934.6160795397	26.1039769212565	28.5101078782697	-6051.35910960755	0.78661708160433	28.2631734668757
26__Main Tower	538.512195121951	-175.60891059767	1530.1269241939	3346.20586291971	0.737821707617596	0.249305074229745	0.0128732181526595	0.874068397296127	0.117970597511234	0.00796100519263909	-11122.1957911529	27.3853673974961	29.1606215738349	-5990.87972860846	0.765929043593759	28.5783638108626
26__Main Tower	538.512195121951	-175.394943870622	1432.97643721938	3339.15679867476	0.718122621184289	0.269998192776163	0.0118791860395481	0.863251218746406	0.129308086510591	0.00744069474300287	-11140.9472432101	27.5224869949193	29.2312612527403	-5983.86396089986	0.763692231682272	28.6173564680362
26__Main Tower	538.512195121951	-178.157455527046	2216.4565575028	3486.82667585003	0.999527869235338	3.06793676315048E-05	0.000441451397030633	0.999750387789737	1.26779551560145E-05	0.000236934255107149	-10914.5361745513	25.6324252354889	28.0183915299348	-6095.81384276706	0.793972458098728	28.0158788459424
26__Main Tower	538.512195121951	-178.15135349657	2126.59430715019	3488.45586119652	0.998698628373485	9.17860162141502E-05	0.00120958561030065	0.999312717143526	3.79418964430249E-05	0.00064934096003069	-10913.6745616193	25.6369516924461	28.0278028450031	-6094.95609381496	0.793901205289945	28.0209016478535
26__Main Tower	538.512195121951	-178.13410541408	2035.08430144018	3488.1001675971	0.996365689930259	0.000299411510985554	0.00333489855875522	0.998084781293852	0.000123881017217474	0.0017913376889302	-10911.750265232	25.6506329026583	28.0539962607079	-6092.56503562559	0.793699656969547	28.0348740196138
26__Main Tower	538.512195121951	-178.088996818428	1941.02067472285	3484.11038497128	0.990344792964136	0.00109533688460666	0.00855987015125751	0.994940023604027	0.000454281675081461	0.00460569472089138	-10907.2805751807	25.686166692456	28.1195296579158	-6086.5824017016	0.793174066250781	28.0697806819168
26__Main Tower	538.512195121951	-177.983210195971	1844.26152637522	3478.72999265829	0.976857893192354	0.0050854432539711	0.0180566635536744	0.988121658731563	0.00212087833610685	0.00975746293233032	-10901.461778278	25.7675921358711	28.2487824523619	-6074.79297511389	0.791948560834025	28.1379117626689
26__Main Tower	538.512195121951	-177.517678302079	1734.94190816181	3463.41270575732	0.925497348112881	0.0492709890790017	0.025231662808117	0.964975320190147	0.0210526867849139	0.013971993024939	-10934.0156681361	26.102066589749	28.5105838279464	-6051.29223690566	0.78664671619262	28.2636932961533
26__Main Tower	538.512195121951	-175.608030144384	1530.34970464285	3346.47341336324	0.737739750370246	0.249385769569484	0.0128744800602704	0.874022820971109	0.118014966418342	0.00796221261054889	-11122.2638459333	27.3859325502136	29.1609583669841	-5990.84576421132	0.7659197961621	28.578555120208
26__Main Tower	538.512195121951	-175.394919584369	1433.01387767829	3339.19283348636	0.718120173088277	0.270000344239696	0.011879482672027	0.863249878958318	0.129309232453504	0.00744088858817895	-11140.9589127838	27.5225993496522	29.2312733709334	-5983.86277565637	0.763691976949	28.6173633504525
