P,T,N2,O2,Ar,y_N2,y_O2,y_Ar,x_N2,x_O2,x_Ar,vap_rho,liq_rho,vap_etlp,liq_etlp,vap_F,liq_F
563.8760976,-173.7492587,0.628677843,0.354081948,0.017240209,0.806054593,0.182382032,0.011563375,0.627176739,0.35553501,0.017288251,0.787728106,28.03318429,-5934.475228,-11169.72298,0.004662101,0.550893455
563.8760976,-173.7492587,0.628677843,0.357806938,0.013515219,0.807026514,0.183915633,0.009057853,0.627912684,0.358552973,0.013534343,0.78773384,28.03108167,-5938.256834,-11176.12709,0.002373285,0.553182271
563.8760976,-173.7492587,0.628677843,0.361531928,0.009790229,0.807998914,0.185444767,0.00655632,0.628647352,0.361561869,0.009790779,0.787739568,28.02897798,-5942.032646,-11182.51636,9.44E-05,0.555461109
563.8760976,-173.7492587,0.632408423,0.354081948,0.013509629,0.807003479,0.183879346,0.009117175,0.627895261,0.358481568,0.013623171,0.787733705,28.03113151,-5938.167297,-11175.97552,0.013998868,0.541556687
563.8760976,-173.7492587,0.632408423,0.357806938,0.009784639,0.807982694,0.185419303,0.006598004,0.628635124,0.361511752,0.009853124,0.787739473,28.02901294,-5941.969726,-11182.40991,0.011688349,0.543867206
563.8760976,-173.7492587,0.632408423,0.361531928,0.006059649,0.808962362,0.186954716,0.004082923,0.629373691,0.364532683,0.006093626,0.787745234,28.02689323,-5945.76621,-11188.82911,0.00938791,0.546167646
563.8760976,-173.7492587,0.632408423,0.365256918,0.002334659,0.809942505,0.188485656,0.001571839,0.630110986,0.367544484,0.002344531,0.78775099,28.02477232,-5949.556885,-11195.23334,0.007097499,0.548458057
563.8760976,-173.6941617,0.621216682,0.354081948,0.02470137,0.801110738,0.182327167,0.016562095,0.621043563,0.354247235,0.024709203,0.787135719,28.07020688,-5924.917046,-11160.94082,0.00053412,0.555021436
563.8760976,-173.6941617,0.624947262,0.354081948,0.02097079,0.802043725,0.183809458,0.014146817,0.621750301,0.357155722,0.021093977,0.787141234,28.06819753,-5928.561116,-11167.10299,0.009851106,0.54570445
563.8760976,-173.6941617,0.624947262,0.357806938,0.0172458,0.803019922,0.185355183,0.011624895,0.622488168,0.360188411,0.017323422,0.787146996,28.06609485,-5932.36631,-11173.5327,0.007567442,0.547988113
563.8760976,-173.6941617,0.624947262,0.361531928,0.01352081,0.803996613,0.186896391,0.009106995,0.623224777,0.363211951,0.013563271,0.787152751,28.06399084,-5936.165663,-11179.94747,0.005293613,0.550261942
563.8760976,-173.6941617,0.624947262,0.365256918,0.00979582,0.804973819,0.188433155,0.006593027,0.623960154,0.366226465,0.009813381,0.7871585,28.06188543,-5939.959312,-11186.34753,0.00302957,0.552525985
563.8760976,-173.6941617,0.628677843,0.354081948,0.017240209,0.802990314,0.185308379,0.011701307,0.622465812,0.360096587,0.017437601,0.787146821,28.06615863,-5932.251013,-11173.33795,0.019117227,0.536438328
563.8760976,-173.6941617,0.628677843,0.357806938,0.013515219,0.803973803,0.186860457,0.00916574,0.623207593,0.363141459,0.013650948,0.787152616,28.06403998,-5936.077019,-11179.79786,0.016811924,0.538743631
563.8760976,-173.6941617,0.628677843,0.361531928,0.009790229,0.80495776,0.188407943,0.006634298,0.623948082,0.366177012,0.009874906,0.787158405,28.06192003,-5939.897031,-11186.2425,0.014516598,0.541038957
563.8760976,-173.6941617,0.628677843,0.365256918,0.006065239,0.805942206,0.189950907,0.004106886,0.624687306,0.369203368,0.006109325,0.787164188,28.05979876,-5943.71119,-11192.67209,0.012231198,0.543324357
563.8760976,-173.6941617,0.632408423,0.354081948,0.013509629,0.803950674,0.186824018,0.009225308,0.623190167,0.363069976,0.013739858,0.78715248,28.06408981,-5935.987131,-11179.64615,0.028331706,0.52722385
563.8760976,-173.6941617,0.632408423,0.357806938,0.009784639,0.804941478,0.188382379,0.006676142,0.623935842,0.36612687,0.009937288,0.78715831,28.06195512,-5939.833884,-11186.13601,0.026004655,0.5295509
563.8760976,-173.6941617,0.632408423,0.361531928,0.006059649,0.805932724,0.189936071,0.004131205,0.624680194,0.36917427,0.006145536,0.787164133,28.05981919,-5943.67449,-11192.61024,0.023687727,0.531867828
563.8760976,-173.6941617,0.632408423,0.365256918,0.002334659,0.806924435,0.191485166,0.0015904,0.625423247,0.372212304,0.002364449,0.787169949,28.05768198,-5947.50909,-11199.0691,0.021380869,0.534174686
563.8760976,-173.6390646,0.621216682,0.354081948,0.02470137,0.798015768,0.185226188,0.016758044,0.61634054,0.358739012,0.024920448,0.786555424,28.10309889,-5922.607198,-11164.42745,0.014911046,0.540644509
563.8760976,-173.6390646,0.621216682,0.357806938,0.02097638,0.798996135,0.186783974,0.014219891,0.617080234,0.361786181,0.021133585,0.786561212,28.1009966,-5926.435708,-11170.88215,0.012632357,0.542923199
563.8760976,-173.6390646,0.621216682,0.361531928,0.01725139,0.79997701,0.188337197,0.011685793,0.617818678,0.364824137,0.017357185,0.786566994,28.09889283,-5930.258333,-11177.32184,0.010363402,0.545192154
563.8760976,-173.6390646,0.621216682,0.365256918,0.0135264,0.800958414,0.189885928,0.009155658,0.618555896,0.367853002,0.013591102,0.78657277,28.09678755,-5934.075208,-11183.74674,0.008104134,0.547451421
563.8760976,-173.6390646,0.624947262,0.354081948,0.02097079,0.798960033,0.186726705,0.014313262,0.617053024,0.361674162,0.021272814,0.786560999,28.10107402,-5926.294865,-11170.64478,0.024109504,0.531446051
563.8760976,-173.6390646,0.624947262,0.357806938,0.0172458,0.799947689,0.188290844,0.011761467,0.617796627,0.364733479,0.017469893,0.786566821,28.09895573,-5930.144177,-11177.1296,0.021809233,0.533746322
563.8760976,-173.6390646,0.624947262,0.361531928,0.01352081,0.800935827,0.189850343,0.00921383,0.618538947,0.367783412,0.013677641,0.786572637,28.096836,-5933.987449,-11183.59907,0.019518839,0.536036717
563.8760976,-173.6390646,0.624947262,0.365256918,0.00979582,0.801924469,0.191405273,0.006670258,0.619280008,0.370824084,0.009895908,0.786578447,28.09471481,-5937.824822,-11190.05342,0.017238271,0.538317285
563.8760976,-173.6390646,0.628677843,0.354081948,0.017240209,0.79991796,0.188243843,0.011838197,0.617774269,0.364641553,0.017584178,0.786566646,28.09901949,-5930.028428,-11176.93468,0.033256935,0.52229862
563.8760976,-173.6390646,0.628677843,0.357806938,0.013515219,0.800912928,0.189814265,0.009272807,0.618521763,0.367712858,0.013765379,0.786572502,28.09688513,-5933.898477,-11183.44936,0.030934976,0.52462058
563.8760976,-173.6390646,0.628677843,0.361531928,0.009790229,0.801908353,0.191379968,0.006711679,0.619267941,0.370774603,0.009957457,0.786578352,28.09474939,-5937.76233,-11189.94835,0.028623038,0.526932518
